,HipID1,HipID2,HipID3,theta1,theta2,phi
12791,97141,97139,97431,0.0012698175914872415,0.015560343413974205,1.4053095394077562
12792,97142,97087,97242,0.005209585059041002,0.011326528319987882,2.9663425677789785
12793,97144,96979,97101,0.010243142375292462,0.014094327850907416,1.9940095649944216
12794,97150,96988,97572,0.007678315179322305,0.02423162252727033,2.665327232948838
12795,97151,97001,96907,0.006219795767231239,0.012457489162329768,0.7178398166597586
12796,97157,97499,97592,0.018459989179337215,0.02463564228576907,0.6974311060089079
12797,97165,96825,96706,0.014438513444630888,0.021916266126840046,0.22424463517358278
12798,97210,97260,97515,0.017699259896994342,0.039584832290014575,2.637213997688885
12799,97228,97477,97242,0.017417864619666594,0.018831545704823698,0.6409781260921621
12800,97229,96979,97144,0.01837040114179711,0.01988605349614022,0.5364353458710852
12801,97242,97142,97477,0.011326528319987882,0.011498128167553781,2.442658416695681
12802,97243,97757,96706,0.020606313061668078,0.02109179579097541,3.092835368489072
12803,97244,97687,97871,0.024309247495406423,0.03267492711373434,0.43223142596368963
12804,97260,97210,96577,0.017699259896994342,0.03432670707723929,1.9852963514912894
12805,97278,97454,97675,0.009746969663027127,0.020731971572255967,0.3111149316000017
12806,97290,97417,97783,0.021932160544350144,0.027076193772243146,1.737261430323478
12807,97293,96919,96620,0.021430586991526602,0.02185875334426177,0.5614759749357517
12808,97295,97485,97087,0.010151425044705988,0.011993701845811154,2.9763061909781197
12809,97304,96901,96895,0.01577008452060517,0.015958668590576618,0.0020124027513178954
12810,97307,97485,97295,0.012641826302202973,0.014673467984368358,0.747551384770645
12811,97319,97402,97077,0.006298768690613791,0.016076116227004958,1.6062347735997973
12812,97326,96662,97122,0.012650114997026408,0.016153225526674968,1.0204949255245477
12813,97345,97611,97971,0.025220206879670613,0.02729492643025582,0.34675507353714047
12814,97351,96950,96808,0.025543183741943313,0.030157425207696643,0.23970693425834205
12815,97365,97135,97496,0.011876612446876818,0.012473966170288276,2.0418613526347853
12816,97372,97774,97700,0.013668376684912867,0.014680125341233446,0.7145467147507
12817,97376,97538,97630,0.008615996436112211,0.011926736307337267,0.179873718293842
12818,97384,97804,97980,0.021501113623008355,0.03445209720317257,0.3579957632722291
12819,97398,97229,97709,0.03323441238776882,0.033602942110839536,2.9197438388803736
12820,97401,97515,96644,0.007431223709090158,0.03404616106141062,2.297376620489236
12821,97402,97319,97077,0.006298768690613791,0.017472648744110243,1.1667998088379656
12822,97416,97028,97307,0.023135664296634842,0.024682004662921142,2.0292033342353815
12823,97417,97290,97783,0.021932160544350144,0.03756364026160129,0.7907268274985015
12824,97420,97509,97572,0.004961594751139952,0.012348236008086398,1.4411304382673438
12825,97421,97819,97816,0.02673906221680421,0.026800393340665418,0.0034732033369265225
12826,97423,97739,97736,0.019595340900395185,0.024265761296967125,1.522400674622369
12827,97431,97139,97141,0.015402167455097161,0.015560343413974205,0.08140844517615083
12828,97433,98333,97122,0.01556428399792764,0.017254790111935866,2.0554673845075335
12829,97438,97892,98073,0.012798657279545947,0.019892403670575702,0.9264771749621463
12830,97454,97278,97675,0.009746969663027127,0.011834954524342613,2.5756141739194165
12831,97473,97489,97767,0.002420385379672334,0.014720155907694066,1.0105415857808868
12832,97477,97242,97228,0.011498128167553781,0.017417864619666594,1.367257957291464
12833,97484,97739,97423,0.017576956019425476,0.024388631232420663,0.9194599046988362
12834,97485,97295,97307,0.010151425044705988,0.012641826302202973,1.3844276435947647
12835,97489,97473,97767,0.002420385379672334,0.013589498625484033,1.979593555819865
12836,97491,97856,96806,0.011737441210974638,0.03140475054081425,1.9854072142669175
12837,97496,97365,97796,0.012473966170288276,0.016204481465126583,1.5976098733435125
12838,97499,97650,97776,0.007703136033757479,0.013232419558842103,0.2747197334607941
12839,97509,97420,97573,0.004961594751139952,0.011698727795605861,2.3387100399513865
12840,97515,97401,96644,0.007431223709090158,0.0393774820534439,0.702678077461698
12841,97534,98495,98522,0.016130012547876535,0.030043233616479433,0.6135439161723418
12842,97536,97831,98308,0.018172921503004116,0.018611634176552334,0.8786543354324529
12843,97538,97630,97376,0.0037784277901563375,0.008615996436112211,2.541501416631255
12844,97569,96734,98478,0.01740351724529782,0.01813408188742365,3.0943158735482386
12845,97572,97788,97420,0.009599910082404444,0.012348236008086398,1.8596844511469137
12846,97573,97509,97420,0.011698727795605861,0.015560198133668763,0.23144157959684317
12847,97592,97650,97499,0.013465665241030473,0.01582767553030775,0.5076702640685984
12848,97593,96721,98512,0.03220706121216345,0.03296823051560666,2.974835189585297
12849,97598,98577,97593,0.033104319482902086,0.03801108332401357,1.5083597277506655
12850,97599,97365,97796,0.018655567010677075,0.01893089731931343,1.1672250438796319
12851,97607,97649,97938,0.016972203946339647,0.01967570256344501,0.9265379417123938
12852,97611,97971,97345,0.009286775944693671,0.025220206879670613,1.619272470412805
12853,97612,97989,96771,0.01404806487971238,0.024791757964811666,1.8226367246842958
12854,97630,97538,97376,0.0037784277901563375,0.011926736307337267,0.4202175186646953
12855,97634,97895,98058,0.016523764506587355,0.018376949255236145,1.3394217603711485
